Rank,Title,Runtime,Genre,Rating,Director,Lead,Votes,Budget,Sequel,Rounded
395,Three Thousand Years of Longing,108,Drama,6.7,George Miller,Tilda Swinton,135,60000000,0,7
396,Possessor,103,Horror,6.5,Brandon Cronenberg,Andrea Riseborough,136,,0,7
397,The Conjuring,112,Horror,7.5,James Wan,Patrick Wilson,175,20000000,0,8
398,The Intouchables,112,Biography,8.5,Olivier Nakache,François Cluzet,244,10800000,0,9
399,Into the Wild,148,Adventure,8.1,Sean Penn,Emile Hirsch,199,15000000,0,8
400,Thor: Ragnarok,130,Action,7.9,Taika Waititi,Chris Hemsworth,221,180000000,1,8
401,The Visit,94,Horror,6.2,M. Night Shyamalan,Olivia DeJonge,26,5000000,0,6
402,Howl's Moving Castle,119,Animation,8.2,Hayao Miyazaki,Chieko Baisho,144,24000000,0,8
403,Blue Is the Warmest Colour,180,Drama,7.7,Abdellatif Kechiche,Léa Seydoux,35,4240000,0,8
404,EO,88,Drama,6.8,Jerzy Skolimowski,Sandra Drzymalska,143,,0,7
405,Idiocracy,84,Adventure,6.5,Mike Judge,Luke Wilson,43,2400000,0,7
406,Hamilton,160,Biography,8.4,Thomas Kail,Lin-Manuel Miranda,250,12500000,1,8
407,Fantastic Beasts and Where to Find Them,132,Adventure,7.2,David Yates,Eddie Redmayne,170,175000000,1,7
408,Signs,106,Drama,6.8,M. Night Shyamalan,Mel Gibson,132,72000000,0,7
409,Catherine Called Birdy,108,Adventure,6.6,Lena Dunham,Bella Ramsey,173,,0,7
410,Inside Man,129,Crime,7.6,Spike Lee,Denzel Washington,134,45000000,0,8
411,Ready or Not,95,Action,6.8,Matt Bettinelli-Olpin,Samara Weaving,36,6000000,0,7
412,Hustle,117,Comedy,7.3,Jeremiah Zagar,Adam Sandler,16,21000000,0,7
413,Thirteen Lives,147,Action,7.8,Ron Howard,Viggo Mortensen,189,55000000,0,8
414,Star Wars: Episode VII - The Force Awakens,138,Action,7.8,J.J. Abrams,Daisy Ridley,248,306000000,1,8
415,The Man from U.N.C.L.E.,116,Action,7.2,Guy Ritchie,Henry Cavill,118,84000000,0,7
416,Gangs of New York,167,Crime,7.5,Martin Scorsese,Leonardo DiCaprio,159,97000000,0,8
417,Can You Keep a Secret?,94,Comedy,5.3,Elise Durán,Alexandra Daddario,48,,0,5
418,The Lighthouse,109,Drama,7.4,Robert Eggers,Robert Pattinson,68,11000000,0,7
419,On the Line,104,Thriller,5.4,Romuald Boulanger,Mel Gibson,195,,0,5
420,Run,90,Mystery,6.7,Aneesh Chaganty,Sarah Paulson,236,1000000,0,7
421,Scooby-Doo,86,Adventure,5.2,Raja Gosnell,Matthew Lillard,15,84000000,1,5
422,We're the Millers,110,Comedy,7,Rawson Marshall Thurber,Jason Sudeikis,161,37000000,0,7
423,The Revenant,156,Action,8,Alejandro G. Iñárritu,Leonardo DiCaprio,232,135000000,0,8
424,The Day After Tomorrow,124,Action,6.4,Roland Emmerich,Dennis Quaid,160,125000000,0,6
425,Emily,130,Biography,6.9,Frances O'Connor,Emma Mackey,114,,0,7
426,21 Jump Street,109,Action,7.2,Phil Lord,Jonah Hill,187,42000000,0,7
427,Spider-Man: Homecoming,133,Action,7.4,Jon Watts,Tom Holland,206,175000000,1,7
428,Battleship,131,Action,5.8,Peter Berg,Alexander Skarsgård,89,209000000,0,6
429,Nocturnal Animals,116,Drama,7.5,Tom Ford,Amy Adams,107,22500000,0,8
430,The VVitch: A New-England Folktale,92,Drama,6.9,Robert Eggers,Anya Taylor-Joy,98,4000000,1,7
431,Captain Marvel,123,Action,6.8,Anna Boden,Brie Larson,188,152000000,1,7
432,Bros,115,Comedy,6.4,Nicholas Stoller,Billy Eichner,92,22000000,0,6
433,Thirteen,100,Drama,6.8,Catherine Hardwicke,Evan Rachel Wood,245,2000000,0,7
434,I Can Do Bad All by Myself,113,Comedy,4.6,Tyler Perry,Tyler Perry,8,19000000,0,5
435,Blended,117,Comedy,6.5,Frank Coraci,Adam Sandler,25,40000000,0,7
436,Sin City,124,Crime,8,Frank Miller,Mickey Rourke,224,40000000,0,8
437,Bardo: False Chronicle of a Handful of Truths,159,Comedy,6.8,Alejandro G. Iñárritu,Daniel Giménez Cacho,10,,1,7
438,Pinocchio,105,Adventure,5,Robert Zemeckis,Joseph Gordon-Levitt,129,150000000,1,5
439,Vacation,99,Adventure,6.1,John Francis Daley,Ed Helms,13,31000000,1,6
440,Glass,129,Drama,6.6,M. Night Shyamalan,James McAvoy,82,20000000,1,7
441,Zodiac,157,Crime,7.7,David Fincher,Jake Gyllenhaal,182,65000000,0,8
442,A Quiet Place Part II,97,Drama,7.2,John Krasinski,Emily Blunt,79,17000000,1,7
443,The Girl Next Door,109,Comedy,6.7,Luke Greenfield,Emile Hirsch,71,21000000,0,7
444,Spiderhead,106,Action,5.4,Joseph Kosinski,Chris Hemsworth,192,100000000,0,5
445,Frozen,102,Animation,7.4,Chris Buck,Kristen Bell,200,150000000,0,7
446,Les Misérables,158,Drama,7.5,Tom Hooper,Hugh Jackman,121,61000000,1,8
447,Jumanji: Welcome to the Jungle,119,Action,6.9,Jake Kasdan,Dwayne Johnson,140,90000000,1,7
448,Hell or High Water,102,Crime,7.6,David Mackenzie,Chris Pine,77,12000000,0,8
449,Goodnight Mommy,92,Crime,5.6,Matt Sobel,Naomi Watts,9,,0,6
450,Deep Water,115,Drama,5.4,Adrian Lyne,Ben Affleck,169,49000000,0,5
451,Mystic River,138,Crime,7.9,Clint Eastwood,Sean Penn,164,30000000,0,8
452,Little Children,137,Drama,7.5,Todd Field,Kate Winslet,11,26000000,0,8
453,Inheritance,111,Drama,5.5,Vaughn Stein,Lily Collins,37,,0,6
454,Gerald's Game,103,Drama,6.5,Mike Flanagan,Carla Gugino,12,,0,7
455,Twenty Twelve,158,Action,5.8,Roland Emmerich,John Cusack,137,200000000,0,6
456,Wonder,113,Drama,7.9,Stephen Chbosky,Jacob Tremblay,44,20000000,0,8
457,Operation Mincemeat,128,Drama,6.6,John Madden,Colin Firth,103,6300000,0,7
458,Disenchanted,119,Animation,5.6,Adam Shankman,Amy Adams,64,85000000,0,6
459,Lie with Me,93,Drama,5.2,Clement Virgo,Lauren Lee Smith,33,1600000,0,5
460,Secretary,107,Comedy,6.9,Steven Shainberg,James Spader,247,4000000,0,7
461,Inside Out,95,Animation,8.2,Pete Docter,Amy Poehler,215,175000000,0,8
462,The Fast and the Furious: Tokyo Drift,104,Action,6,Justin Lin,Lucas Black,101,85000000,1,6
463,The Swimmers,134,Biography,7.4,Sally El Hosaini,Matthias Schweighöfer,87,,0,7
464,The People We Hate at the Wedding,99,Comedy,5.7,Claire Scanlon,Allison Janney,211,,0,6
465,The Mummy,110,Action,5.4,Alex Kurtzman,Tom Cruise,55,80000000,0,5
466,Valerian and the City of a Thousand Planets,136,Action,6.4,Luc Besson,Dane DeHaan,50,177000000,0,6
467,The Platform,94,Horror,7,Galder Gaztelu-Urrutia,Ivan Massagué,75,,0,7
468,Fresh,114,Horror,6.7,Mimi Cave,Daisy Edgar-Jones,193,17500000,0,7
469,The Devil Wears Prada,109,Comedy,6.9,David Frankel,Anne Hathaway,152,35000000,0,7
470,The Reader,124,Drama,7.6,Stephen Daldry,Kate Winslet,83,32000000,0,8
471,Memory,114,Action,5.7,Martin Campbell,Liam Neeson,96,43000000,0,6
472,Minority Report,145,Action,7.6,Steven Spielberg,Tom Cruise,185,102000000,0,8
473,Watcher,91,Drama,6.3,Chloe Okuno,Maika Monroe,97,5000000,0,6
474,Downton Abbey: A New Era,124,Drama,7.4,Simon Curtis,Hugh Bonneville,80,40000000,1,7
475,Up,96,Animation,8.3,Pete Docter,Edward Asner,1,175000000,0,8
476,Spotlight,129,Biography,8.1,Tom McCarthy,Mark Ruffalo,166,20000000,0,8
477,Fantastic Beasts: The Crimes of Grindelwald,134,Adventure,6.5,David Yates,Eddie Redmayne,109,200000000,1,7
478,Us,116,Horror,6.8,Jordan Peele,Lupita Nyong'o,115,20000000,0,7
479,Coco,105,Animation,8.4,Lee Unkrich,Anthony Gonzalez,176,175000000,0,8
480,Legend,132,Biography,6.9,Brian Helgeland,Tom Hardy,52,22500000,0,7
481,Logan,137,Action,8.1,James Mangold,Hugh Jackman,223,120000000,1,8
482,The Voyeurs,116,Drama,6,Michael Mohan,Sydney Sweeney,72,,0,6
483,Doctor Sleep,152,Drama,7.3,Mike Flanagan,Ewan McGregor,58,45000000,1,7
484,Moneyball,133,Biography,7.6,Bennett Miller,Brad Pitt,154,50000000,0,8
485,Bridesmaids,125,Comedy,6.8,Paul Feig,Kristen Wiig,111,32500000,0,7
486,Orphan,123,Horror,7,Jaume Collet-Serra,Vera Farmiga,76,20000000,0,7
487,Amélie,122,Comedy,8.3,Jean-Pierre Jeunet,Audrey Tautou,220,10000000,0,8
488,How to Train Your Dragon,98,Animation,8.1,Dean DeBlois,Jay Baruchel,217,165000000,0,8
489,WALL·E,98,Animation,8.4,Andrew Stanton,Ben Burtt,4,180000000,0,8
490,The Imitation Game,114,Biography,8,Morten Tyldum,Benedict Cumberbatch,226,14000000,0,8
491,The Blind Side,129,Biography,7.6,John Lee Hancock,Quinton Aaron,124,29000000,0,8
492,Mad God,83,Animation,6.8,Phil Tippett,Alex Cox,7,150000,0,7
493,Road to Perdition,117,Crime,7.7,Sam Mendes,Tom Hanks,99,80000000,0,8
494,After Ever Happy,95,Drama,4.5,Castille Landon,Josephine Langford,196,,0,5
495,Army of the Dead,148,Action,5.7,Zack Snyder,Dave Bautista,47,7000000,1,6
496,The Adam Project,106,Action,6.7,Shawn Levy,Ryan Reynolds,63,116000000,0,7
497,National Treasure,131,Action,6.9,Jon Turteltaub,Nicolas Cage,126,100000000,0,7
