Rank,Title,Runtime,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical,Rating,Director,Lead,Votes
97,Get Out,104,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7.7,Jordan Peele,Daniel Kaluuya,"629,880"
98,In Bruges,107,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.9,Martin McDonagh,Colin Farrell,"440,380"
99,Easy A,92,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,Will Gluck,Emma Stone,"398,136"
100,Kingsman: The Golden Circle,141,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,Matthew Vaughn,Taron Egerton,"337,990"
101,Fifty Shades of Grey,125,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4.2,Sam Taylor-Johnson,Dakota Johnson,"324,284"
102,EO,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,Jerzy Skolimowski,Hola,"8,217"
103,The Bubble,126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,Judd Apatow,Harry Trevaldwyn,"25,795"
104,Nobody,92,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.4,Ilya Naishuller,Bob Odenkirk,"267,466"
105,World War Z,116,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,Marc Forster,Brad Pitt,"680,676"
106,No Country for Old Men,122,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8.2,Ethan Coen,Tommy Lee Jones,"990,317"
107,The Clovehitch Killer,109,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.5,Duncan Skiles,Dylan McDermott,"30,138"
108,The Hunger Games: Mockingjay - Part 2,137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5,Francis Lawrence,Jennifer Lawrence,"336,931"
109,Django Unchained,165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.4,Quentin Tarantino,Jamie Foxx,"1,580,446"
110,The Big Short,130,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.8,Adam McKay,Christian Bale,"441,490"
111,Prisoners,153,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.1,Denis Villeneuve,Hugh Jackman,"734,094"
112,The Suicide Squad,132,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,James Gunn,Margot Robbie,"363,457"
113,The Mummy: Tomb of the Dragon Emperor,112,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.2,Rob Cohen,Brendan Fraser,"164,613"
